location,room_type,bed_type,room_size,ac,attached_bath,parking,kitchen,power_backup,wifi,tv,fridge,wardrobe,study_table,balcony,furnished,rent
Vyttila,Master,Single Bed,153.0,1,0,1,0,1,0,0,0,1,1,0,Semi,23354
Kottayam,Studio,No Bed,240.0,1,1,0,1,1,0,1,1,1,1,1,Unfurnished,24728
Ranni,Triple,No Bed,327.0,1,0,0,0,1,0,1,1,0,1,1,Unfurnished,15869
Kakkanad,Studio,King Bed,392.0,1,0,0,0,1,1,0,0,1,0,1,Fully,33771
Palakkad,Triple,Single Bed,404.0,1,0,0,1,1,1,0,1,0,1,1,Semi,23426
Kalamassery,Single,Double Bed,80.0,0,1,0,1,0,1,1,0,0,1,0,Semi,12486
Surat,Master,Bunk Bed,191.0,1,0,1,0,1,1,1,0,1,1,1,Unfurnished,24516
Kaloor,Quad,Queen Bed,582.0,0,1,0,0,0,1,1,0,1,1,0,Unfurnished,39754
Kannur,Single,Bunk Bed,121.0,1,0,1,1,0,1,1,0,1,1,0,Semi,15013
Hyderabad,Studio,Single Bed,214.0,1,0,0,1,0,0,1,1,0,1,0,Unfurnished,34241
Surat,Quad,No Bed,403.0,0,0,1,1,0,1,1,1,1,1,0,Fully,35909
Kannur,Master,Bunk Bed,291.0,0,0,1,1,1,1,1,0,1,1,1,Semi,19699
Edappally,Triple,King Bed,341.0,0,1,1,0,0,1,0,0,1,1,0,Unfurnished,32703
Kakkanad,Master,Double Bed,245.0,1,0,0,0,1,1,1,0,1,0,0,Unfurnished,22508
Alappuzha,Triple,Double Bed,359.0,1,1,0,1,1,1,1,1,1,1,1,Fully,27881
Bangalore,Quad,No Bed,462.0,0,0,0,1,1,0,0,0,1,1,1,Unfurnished,50395
Kakkanad,Triple,King Bed,289.0,1,1,1,0,0,0,1,1,0,1,1,Semi,29561
Kozhikode,Single,Single Bed,127.0,1,0,0,0,1,1,0,1,1,0,1,Fully,17995
Palakkad,Triple,King Bed,401.0,1,1,1,1,0,1,1,0,1,1,1,Fully,32222
Palakkad,Quad,Queen Bed,454.0,0,1,0,0,0,1,0,0,1,0,0,Fully,27415
Trivandrum,Studio,No Bed,214.0,1,1,1,0,0,1,0,1,0,1,1,Fully,28348
Mg Road,Studio,Single Bed,216.0,0,1,1,0,1,0,1,1,0,1,0,Fully,30454
Palakkad,Single,No Bed,81.0,0,1,0,1,1,1,0,1,1,1,1,Fully,13285
Mumbai,Triple,No Bed,299.0,0,1,1,0,0,1,0,1,1,1,1,Unfurnished,57987
Trivandrum,Quad,Bunk Bed,374.0,0,1,0,1,0,1,1,0,0,0,1,Unfurnished,32382
Edappally,Master,King Bed,234.0,0,0,1,0,1,1,0,0,0,0,1,Semi,24851
Kalamassery,Single,Queen Bed,122.0,0,1,0,0,0,0,1,1,1,0,1,Unfurnished,14138
Kozhikode,Double,No Bed,128.0,0,1,1,0,1,0,0,0,1,1,0,Semi,17012
Other,Single,Double Bed,94.0,1,1,1,1,0,0,1,1,0,1,1,Fully,16553
Ranni,Master,Bunk Bed,200.0,0,0,0,1,1,1,1,0,1,0,0,Unfurnished,13104
Jaipur,Master,Single Bed,226.0,1,0,1,1,1,0,1,0,1,1,0,Fully,26704
Other,Master,Single Bed,270.0,1,1,1,0,0,0,0,1,1,1,0,Semi,19766
Kottayam,Master,Single Bed,260.0,0,0,0,1,0,1,1,0,0,0,1,Unfurnished,19054
Kaloor,Master,Queen Bed,288.0,0,1,1,0,1,0,0,1,1,1,1,Fully,28760
Vyttila,Single,King Bed,105.0,0,0,1,0,0,1,1,0,0,0,0,Fully,20675
Chennai,Single,No Bed,148.0,1,1,1,0,1,0,0,1,1,1,1,Semi,21172
Thrissur,Triple,Queen Bed,347.0,1,1,1,0,1,0,0,1,0,0,1,Fully,28486
Kochi,Double,Bunk Bed,136.0,1,0,1,0,1,1,1,1,1,0,1,Fully,23158
Kaloor,Quad,Double Bed,518.0,1,0,0,0,1,0,0,0,1,0,1,Semi,37295
Ahmedabad,Master,No Bed,261.0,1,0,0,0,1,1,0,1,0,0,1,Semi,28203
Pathanamthitta,Master,No Bed,237.0,0,1,0,0,0,0,1,0,1,0,0,Fully,16609
Other,Master,No Bed,198.0,0,1,1,1,1,0,1,0,1,0,0,Semi,19100
Kakkanad,Single,No Bed,90.0,1,1,1,1,1,0,1,0,1,0,1,Unfurnished,13363
Vyttila,Studio,Single Bed,301.0,0,0,0,1,1,1,1,0,0,0,0,Unfurnished,27420
Fort Kochi,Single,Queen Bed,89.0,0,1,1,0,1,1,0,1,0,0,0,Unfurnished,18258
Kollam,Triple,No Bed,444.0,0,1,0,0,1,0,1,1,1,0,1,Fully,25572
Surat,Triple,No Bed,355.0,1,1,0,0,0,1,0,0,1,1,0,Semi,29224
Palarivattom,Studio,King Bed,315.0,0,1,0,0,0,1,1,1,0,1,1,Fully,38888
Ahmedabad,Single,Double Bed,125.0,1,1,1,1,1,0,1,1,1,0,1,Semi,20081
Kakkanad,Studio,Queen Bed,329.0,1,0,0,0,0,1,0,1,1,0,1,Unfurnished,27245
Kakkanad,Triple,King Bed,345.0,1,1,0,1,1,0,1,0,1,0,0,Semi,32318
Palakkad,Triple,Single Bed,417.0,0,1,1,1,1,1,1,0,0,1,1,Unfurnished,19812
Other,Single,Single Bed,91.0,0,0,0,0,1,1,1,0,0,1,0,Unfurnished,9268
Changanassery,Triple,King Bed,313.0,1,1,0,0,0,1,0,1,1,1,1,Unfurnished,26123
Other,Single,Double Bed,94.0,1,1,1,0,1,0,0,1,1,1,0,Fully,17364
Trivandrum,Quad,Single Bed,542.0,0,0,0,0,1,0,0,0,1,0,0,Fully,32384
Edappally,Double,Queen Bed,207.0,0,0,0,1,1,1,0,1,1,1,1,Fully,25374
Other,Single,No Bed,81.0,1,0,1,1,1,0,1,1,1,0,1,Fully,14273
Kollam,Triple,King Bed,303.0,0,1,0,1,1,0,1,1,1,0,1,Semi,28891
Kolkata,Master,Single Bed,213.0,0,1,1,1,0,0,0,0,1,0,0,Unfurnished,24058
Kottayam,Triple,Queen Bed,429.0,0,0,1,0,1,1,0,0,0,1,0,Fully,28356
Kaloor,Triple,Single Bed,350.0,1,0,1,1,1,1,1,1,0,1,0,Unfurnished,28486
Hyderabad,Triple,Double Bed,417.0,1,1,0,0,1,1,1,1,0,1,1,Semi,42929
Ahmedabad,Master,Queen Bed,223.0,1,0,1,1,1,0,0,1,1,0,0,Fully,34222
Surat,Triple,Bunk Bed,345.0,1,1,0,1,0,0,0,1,1,0,1,Fully,32834
Mumbai,Quad,King Bed,395.0,1,0,1,0,1,0,1,1,0,1,0,Fully,92477
Ahmedabad,Quad,Double Bed,436.0,1,1,1,1,0,0,1,0,1,1,1,Fully,44629
Kalamassery,Triple,Double Bed,339.0,0,1,0,1,0,0,0,0,1,0,1,Unfurnished,21298
Trivandrum,Triple,Double Bed,302.0,1,1,0,0,1,0,0,1,1,0,1,Fully,29231
Kolkata,Double,No Bed,233.0,1,1,0,0,1,1,1,1,0,1,1,Fully,28649
Kakkanad,Master,Queen Bed,268.0,1,0,0,1,1,0,0,0,0,0,0,Fully,24660
Trivandrum,Single,No Bed,107.0,1,1,1,1,0,1,0,0,0,0,1,Fully,18272
Pathanamthitta,Studio,No Bed,230.0,0,0,1,0,0,1,1,0,1,1,1,Unfurnished,14827
Ranni,Double,No Bed,201.0,1,0,0,1,1,1,1,0,0,1,0,Unfurnished,12832
Kochi,Quad,Single Bed,599.0,0,0,0,1,1,1,1,1,1,1,0,Fully,38950
Surat,Triple,No Bed,367.0,0,0,1,1,1,1,0,1,1,0,1,Unfurnished,26882
Kakkanad,Quad,Bunk Bed,534.0,0,0,0,0,0,1,1,0,1,0,0,Semi,32141
Vyttila,Studio,Single Bed,360.0,0,0,0,1,0,1,1,0,1,1,1,Unfurnished,27775
Kannur,Double,King Bed,193.0,1,1,1,0,0,1,0,0,1,0,1,Unfurnished,20655
Vyttila,Single,Double Bed,84.0,1,0,1,0,0,1,1,0,1,1,0,Unfurnished,16362
Other,Master,No Bed,252.0,0,0,0,0,0,1,0,0,1,1,1,Semi,18492
Mg Road,Single,Bunk Bed,101.0,1,1,1,1,0,0,0,1,0,0,1,Unfurnished,16092
Palarivattom,Triple,Bunk Bed,299.0,0,1,0,1,1,0,0,0,1,0,0,Unfurnished,28232
Alappuzha,Master,Double Bed,267.0,1,0,1,0,0,0,1,0,0,1,0,Unfurnished,18309
Hyderabad,Quad,Single Bed,484.0,1,1,1,1,1,1,0,0,1,1,1,Unfurnished,47241
Surat,Single,Bunk Bed,149.0,1,1,1,0,1,1,1,1,0,1,0,Fully,21003
Pala,Single,King Bed,82.0,0,1,0,1,1,1,1,0,0,1,1,Fully,19093
Chennai,Single,King Bed,112.0,0,1,1,1,0,0,0,1,0,0,1,Fully,23598
Kollam,Quad,No Bed,509.0,1,0,0,1,1,0,0,1,0,1,0,Unfurnished,25307
Delhi,Triple,No Bed,376.0,1,1,1,0,0,0,0,0,1,1,0,Unfurnished,38052
Bangalore,Studio,Single Bed,337.0,1,1,1,0,0,1,1,0,1,1,1,Semi,47973
Karukachal,Single,Queen Bed,118.0,1,0,0,0,0,1,1,1,1,0,1,Unfurnished,12190
Jaipur,Single,King Bed,133.0,1,0,1,1,1,1,1,0,1,1,1,Unfurnished,21479
Changanassery,Quad,Double Bed,565.0,1,0,1,0,0,1,0,1,1,1,1,Semi,30309
Mumbai,Studio,Queen Bed,236.0,0,1,0,0,0,1,1,1,0,0,1,Semi,66107
Kollam,Studio,King Bed,202.0,1,0,0,0,1,0,1,1,1,0,0,Fully,29029
Thrissur,Master,King Bed,267.0,1,0,0,1,1,1,1,1,0,0,1,Fully,29274
Kottayam,Single,Queen Bed,140.0,0,1,1,1,1,1,0,0,1,0,0,Semi,15599
Thrissur,Studio,Bunk Bed,240.0,1,0,1,0,1,1,1,1,1,0,1,Unfurnished,25939
Kollam,Studio,Double Bed,205.0,0,0,0,0,1,0,1,0,0,1,0,Unfurnished,19790
Delhi,Double,Bunk Bed,223.0,0,1,0,1,1,1,0,1,1,0,0,Semi,31989
Alappuzha,Quad,Queen Bed,428.0,1,1,1,0,1,0,1,1,0,0,0,Fully,31776
Jaipur,Studio,Single Bed,374.0,0,1,1,0,0,1,1,0,1,0,1,Fully,27997
Ranni,Master,Double Bed,240.0,1,1,0,0,1,1,0,0,1,0,0,Semi,17098
Pathanamthitta,Studio,Double Bed,346.0,1,0,1,1,1,0,0,1,1,1,1,Fully,26122
Changanassery,Studio,Single Bed,343.0,0,1,0,0,1,1,1,1,0,0,1,Unfurnished,20030
Kottayam,Studio,King Bed,306.0,0,0,1,0,1,0,0,1,1,0,1,Fully,29153
Vyttila,Master,Single Bed,251.0,0,0,0,1,0,1,0,1,0,1,0,Fully,24820
Pala,Single,Single Bed,114.0,0,0,0,0,1,1,1,1,0,1,1,Unfurnished,9585
Kozhikode,Double,Double Bed,173.0,0,0,0,0,0,1,1,1,0,1,1,Semi,19510
Aluva,Single,No Bed,101.0,0,0,1,1,1,0,1,0,0,1,1,Semi,10307
Kozhikode,Double,Single Bed,199.0,1,1,0,0,0,0,0,1,0,0,0,Fully,19532
Kollam,Double,Bunk Bed,195.0,0,0,0,1,1,0,0,1,1,0,1,Fully,17991
Kakkanad,Single,King Bed,109.0,0,1,1,1,1,0,0,1,1,1,0,Unfurnished,17003
Other,Single,Queen Bed,114.0,1,0,0,1,1,1,1,1,0,1,1,Semi,18072
Surat,Double,Single Bed,222.0,0,0,0,0,0,1,0,0,1,0,1,Semi,19117
Mumbai,Triple,Double Bed,261.0,0,1,1,1,0,0,0,1,1,0,1,Unfurnished,62029
Chennai,Studio,King Bed,223.0,0,1,0,0,1,0,1,0,0,1,1,Unfurnished,35599
Mg Road,Triple,Queen Bed,251.0,0,0,0,1,0,1,1,0,0,1,1,Fully,30907
Vyttila,Quad,Single Bed,545.0,1,1,1,0,0,0,1,1,1,1,0,Unfurnished,39604
Trivandrum,Double,Bunk Bed,165.0,1,1,0,0,0,0,1,1,0,0,0,Semi,20045
Other,Triple,Bunk Bed,260.0,0,0,0,1,1,1,1,1,1,1,1,Fully,26278
Edappally,Master,Single Bed,256.0,0,1,1,0,0,0,0,1,0,0,0,Unfurnished,22228
Kakkanad,Studio,Queen Bed,250.0,0,1,1,1,0,1,1,1,0,0,0,Semi,29679
Pune,Triple,King Bed,394.0,0,0,0,0,0,1,0,0,0,0,1,Semi,41603
Mumbai,Triple,King Bed,252.0,1,0,1,1,1,1,1,1,1,0,0,Fully,65410
Karukachal,Triple,King Bed,390.0,0,0,0,1,1,0,1,1,0,0,1,Semi,24506
Kollam,Double,No Bed,240.0,0,1,0,1,0,1,0,0,0,0,0,Semi,16608
Ahmedabad,Studio,Double Bed,359.0,1,0,0,1,0,1,1,0,1,0,0,Semi,34263
Pune,Single,Double Bed,83.0,1,1,0,0,0,0,1,0,0,1,1,Unfurnished,19763
Ahmedabad,Master,Single Bed,222.0,0,0,1,1,0,1,1,1,1,1,0,Unfurnished,27153
Kochi,Master,Double Bed,242.0,1,0,1,1,1,0,0,1,0,0,1,Semi,26812
Kaloor,Quad,Queen Bed,587.0,0,1,0,0,0,0,1,1,1,1,1,Semi,39006
Bangalore,Studio,Double Bed,369.0,1,0,0,0,0,0,1,0,1,0,1,Fully,45972
Kochi,Single,No Bed,124.0,1,0,0,0,1,1,0,1,0,0,0,Semi,12493
Kaloor,Single,Bunk Bed,86.0,1,1,0,0,0,0,0,1,0,0,0,Semi,15807
Alappuzha,Double,Bunk Bed,214.0,0,0,1,1,0,1,1,1,1,1,1,Semi,17702
Karukachal,Quad,Bunk Bed,397.0,1,1,0,0,0,1,1,0,0,0,0,Semi,24053
Ahmedabad,Double,Bunk Bed,187.0,0,0,0,1,1,0,0,1,1,1,1,Unfurnished,24064
Vyttila,Double,King Bed,228.0,1,0,0,0,0,0,1,0,1,0,0,Unfurnished,26217
Mg Road,Master,King Bed,200.0,0,1,0,0,1,1,0,1,0,1,0,Fully,32744
Ranni,Single,Bunk Bed,149.0,1,1,1,0,1,1,0,1,0,0,1,Unfurnished,11621
Vyttila,Studio,Bunk Bed,206.0,1,0,1,1,1,1,0,1,1,1,1,Unfurnished,30834
Kannur,Quad,Queen Bed,454.0,1,1,1,0,0,0,1,0,1,0,0,Fully,32344
Mg Road,Studio,Bunk Bed,343.0,0,1,0,0,1,1,1,0,1,1,1,Semi,32831
Pathanamthitta,Triple,King Bed,335.0,1,1,0,0,0,0,1,0,0,0,0,Semi,24014
Aluva,Double,Single Bed,200.0,0,1,1,0,1,1,1,1,0,1,0,Fully,20199
Kannur,Master,Queen Bed,271.0,1,0,1,0,1,0,1,1,1,1,0,Fully,24214
Hyderabad,Quad,Double Bed,497.0,0,0,0,1,1,1,1,1,1,1,0,Fully,48307
Karukachal,Quad,Queen Bed,526.0,0,0,0,0,1,1,1,1,1,1,0,Unfurnished,24551
Kottayam,Single,Queen Bed,129.0,1,0,1,1,1,0,1,0,1,0,1,Fully,19903
Pathanamthitta,Triple,Single Bed,310.0,1,1,0,1,0,0,0,0,0,0,0,Unfurnished,16645
Vyttila,Quad,Queen Bed,592.0,1,1,0,0,1,0,0,1,0,1,0,Fully,42831
Other,Quad,King Bed,552.0,1,1,0,0,0,0,0,0,0,0,1,Semi,35270
Changanassery,Double,Queen Bed,184.0,0,1,1,1,1,1,0,0,1,0,0,Unfurnished,18879
Vyttila,Quad,Single Bed,472.0,0,0,0,1,0,1,0,1,0,1,1,Fully,38649
Vyttila,Quad,Single Bed,479.0,1,1,0,0,0,0,0,1,0,0,0,Unfurnished,36572
Alappuzha,Studio,No Bed,396.0,0,1,0,1,1,0,0,1,1,1,0,Unfurnished,19855
Kolkata,Studio,Single Bed,230.0,1,0,0,0,1,1,0,0,0,0,1,Unfurnished,27394
Chennai,Quad,No Bed,555.0,0,1,1,1,0,1,1,0,0,1,1,Unfurnished,42704
Mg Road,Quad,No Bed,449.0,1,0,0,1,0,0,1,1,1,0,0,Semi,36379
Fort Kochi,Master,No Bed,153.0,0,1,1,1,0,1,0,0,1,0,0,Unfurnished,22653
Kalamassery,Double,Single Bed,213.0,1,1,1,0,1,0,1,0,1,0,1,Semi,19768
Chennai,Quad,Bunk Bed,477.0,1,1,0,1,0,1,1,0,0,0,1,Unfurnished,47831
Kolkata,Double,Single Bed,202.0,1,0,1,1,1,0,0,0,1,1,1,Semi,24588
Kannur,Double,Queen Bed,189.0,1,1,0,0,1,1,0,0,1,0,0,Semi,21173
Trivandrum,Quad,Queen Bed,421.0,0,0,0,1,1,1,1,1,0,0,1,Fully,39194
Mg Road,Triple,Queen Bed,299.0,1,1,1,0,1,0,0,0,0,0,0,Semi,33504
Changanassery,Quad,Queen Bed,507.0,1,1,1,1,0,1,1,1,1,0,1,Semi,32656
Palarivattom,Quad,Queen Bed,463.0,1,1,1,1,0,1,1,1,1,0,1,Fully,47693
Other,Quad,Double Bed,454.0,1,1,0,0,1,1,1,0,1,0,0,Fully,30123
Kozhikode,Quad,King Bed,534.0,1,1,1,1,0,1,0,0,0,0,1,Semi,36860
Thrissur,Studio,Single Bed,315.0,0,1,0,0,1,1,1,1,1,0,1,Semi,27675
Changanassery,Master,Single Bed,261.0,1,1,0,0,1,0,1,0,0,1,0,Fully,20517
Pala,Triple,No Bed,436.0,1,1,0,0,0,0,0,0,1,0,1,Semi,22296
Chennai,Single,Queen Bed,129.0,1,0,1,1,1,0,0,0,1,0,0,Fully,24181
Aluva,Single,Double Bed,133.0,0,1,1,0,1,1,0,1,0,1,1,Semi,14085
Kaloor,Quad,Double Bed,478.0,0,0,1,0,1,1,1,0,1,1,1,Unfurnished,35642
Pune,Quad,No Bed,478.0,0,0,0,0,1,0,0,0,0,0,0,Unfurnished,43126
Vyttila,Triple,Single Bed,267.0,0,0,1,0,0,0,0,1,0,1,0,Fully,29781
Other,Studio,No Bed,259.0,0,0,1,0,0,0,0,0,0,1,0,Fully,20195
Surat,Triple,Double Bed,325.0,1,1,0,0,1,1,1,1,1,0,0,Unfurnished,30957
Jaipur,Single,No Bed,131.0,1,1,1,0,0,1,0,0,1,0,0,Fully,15434
Karukachal,Studio,No Bed,347.0,0,0,0,1,1,0,0,0,0,0,0,Unfurnished,15828
Surat,Double,No Bed,121.0,1,1,0,0,0,0,0,1,1,0,0,Fully,22624
Palarivattom,Single,No Bed,127.0,0,1,1,0,1,1,0,1,1,0,0,Fully,16906
Fort Kochi,Studio,Double Bed,295.0,1,0,1,0,1,0,0,0,0,0,1,Fully,35262
Kakkanad,Double,No Bed,250.0,0,1,0,0,0,1,1,0,0,0,1,Fully,21627
Trivandrum,Studio,Single Bed,334.0,0,1,0,1,0,0,0,1,1,0,1,Fully,30383
Karukachal,Master,Queen Bed,156.0,0,1,0,0,1,1,0,1,1,1,1,Semi,17594
Aluva,Double,Queen Bed,130.0,1,0,0,1,1,1,1,0,0,0,1,Unfurnished,19135
Jaipur,Single,Queen Bed,149.0,0,1,1,1,0,0,1,0,1,0,0,Semi,17902
Hyderabad,Quad,No Bed,410.0,0,0,0,0,0,0,1,0,0,1,0,Semi,45275
Other,Master,King Bed,282.0,0,0,1,0,0,1,0,1,0,0,1,Semi,22476
Hyderabad,Double,Queen Bed,188.0,0,1,1,0,0,1,1,1,0,0,0,Unfurnished,27915
Mg Road,Quad,Bunk Bed,351.0,0,0,0,0,1,1,0,0,1,0,1,Semi,37948
Jaipur,Studio,King Bed,243.0,0,1,0,1,0,1,1,0,1,1,1,Unfurnished,29590
Alappuzha,Quad,No Bed,445.0,1,1,1,1,0,0,0,1,1,0,1,Fully,30043
Surat,Quad,Single Bed,492.0,1,1,0,1,1,0,1,0,0,1,1,Unfurnished,37517
Delhi,Quad,Double Bed,588.0,0,0,1,1,0,1,1,1,0,1,0,Unfurnished,55609
Kannur,Double,Single Bed,182.0,0,1,1,1,0,1,1,0,0,0,1,Fully,20560
Fort Kochi,Master,King Bed,175.0,0,0,1,0,1,1,1,1,1,1,0,Semi,29001
Kaloor,Triple,No Bed,416.0,1,0,0,1,1,0,0,1,1,0,1,Semi,26935
Chennai,Studio,No Bed,205.0,1,0,1,0,0,0,1,0,0,1,0,Fully,31888
Delhi,Triple,Single Bed,277.0,0,1,0,1,0,0,1,0,1,1,1,Unfurnished,39098
Kochi,Studio,Queen Bed,304.0,1,0,0,0,1,0,1,0,1,0,0,Fully,33066
Thrissur,Double,No Bed,208.0,1,0,0,1,0,1,0,1,1,1,0,Semi,19846
Pathanamthitta,Studio,King Bed,296.0,1,0,0,0,1,1,0,0,0,1,1,Semi,22035
Palarivattom,Studio,No Bed,315.0,1,1,0,1,0,0,1,1,0,0,1,Semi,30031
Ahmedabad,Single,No Bed,150.0,0,1,0,1,1,0,0,0,0,0,0,Unfurnished,13240
Palarivattom,Double,Double Bed,138.0,1,1,0,1,1,0,1,1,1,0,0,Unfurnished,22955
Fort Kochi,Double,Queen Bed,129.0,1,0,1,0,1,0,0,1,0,0,0,Unfurnished,25510
Palarivattom,Studio,King Bed,381.0,1,0,1,1,1,1,1,0,1,1,1,Fully,41721
Kakkanad,Triple,Queen Bed,435.0,1,1,0,0,1,1,0,1,0,0,0,Unfurnished,28355
Pune,Quad,Bunk Bed,444.0,1,1,1,1,0,0,0,0,1,0,1,Fully,49459
Edappally,Quad,Bunk Bed,488.0,0,1,1,0,1,1,1,0,1,1,1,Fully,37890
Kozhikode,Studio,Single Bed,374.0,1,1,0,1,1,0,1,1,0,0,0,Unfurnished,24582
Kolkata,Quad,Single Bed,461.0,0,1,0,1,0,0,1,0,0,0,0,Unfurnished,32761
Karukachal,Master,No Bed,156.0,0,1,1,1,0,0,0,1,0,1,1,Unfurnished,13994
Other,Quad,No Bed,593.0,1,0,1,0,0,1,0,0,0,1,0,Unfurnished,25510
Jaipur,Quad,Bunk Bed,510.0,0,1,1,0,0,1,1,1,0,1,0,Fully,35487
Pune,Studio,No Bed,320.0,0,1,1,0,1,1,1,0,0,0,0,Fully,41678
Kalamassery,Master,Single Bed,205.0,0,0,1,1,1,0,1,1,0,1,1,Semi,19285
Ahmedabad,Studio,Double Bed,280.0,1,0,1,0,0,0,1,1,0,1,1,Fully,34910
Pathanamthitta,Single,Single Bed,117.0,0,0,0,0,1,0,1,1,1,1,1,Unfurnished,8909
Karukachal,Triple,Queen Bed,414.0,0,1,1,1,1,0,0,1,0,0,0,Fully,25016
Other,Triple,Bunk Bed,399.0,1,1,1,0,1,0,0,0,0,1,0,Fully,27179
Thrissur,Double,King Bed,154.0,0,1,0,0,1,1,0,0,1,1,1,Fully,26829
Aluva,Master,Double Bed,181.0,1,1,0,0,0,0,1,0,0,0,1,Fully,22391
Other,Double,Double Bed,221.0,1,1,1,1,1,1,0,1,0,1,0,Fully,24944
Bangalore,Double,Queen Bed,196.0,0,0,0,1,1,0,1,0,1,0,0,Semi,34634
Kochi,Studio,Single Bed,269.0,0,0,1,1,0,0,1,1,1,1,0,Unfurnished,23536
Other,Quad,Single Bed,540.0,0,1,1,1,0,0,1,1,1,1,0,Fully,29943
Kakkanad,Triple,No Bed,308.0,0,0,0,0,0,0,0,0,0,1,0,Unfurnished,20041
Mumbai,Triple,Single Bed,446.0,0,0,0,1,0,0,1,0,0,1,1,Fully,68104
Edappally,Triple,No Bed,366.0,0,1,0,1,1,0,0,1,0,0,0,Semi,25700
Kochi,Master,Queen Bed,234.0,1,0,1,1,0,0,1,1,1,1,0,Fully,29587
Mg Road,Quad,Single Bed,442.0,1,0,1,0,1,0,0,0,0,1,1,Semi,37603
Jaipur,Quad,Queen Bed,366.0,1,0,1,0,1,1,1,0,1,1,1,Semi,37636
Kolkata,Triple,Queen Bed,410.0,1,1,0,1,0,0,0,1,0,0,1,Unfurnished,32423
Changanassery,Quad,Single Bed,431.0,0,1,1,1,0,1,0,1,0,1,1,Fully,28282
Kozhikode,Master,Single Bed,241.0,1,1,1,0,1,0,1,1,1,0,0,Semi,23684
Fort Kochi,Studio,Single Bed,358.0,1,0,1,1,1,1,0,1,1,1,1,Fully,38835
Hyderabad,Double,No Bed,177.0,1,1,0,1,1,1,1,1,1,1,0,Fully,32259
Kalamassery,Triple,Single Bed,390.0,0,1,1,0,1,0,1,1,0,0,1,Semi,22539
Chennai,Master,Queen Bed,201.0,1,0,1,1,1,0,1,1,0,0,1,Semi,31661
Kolkata,Master,Double Bed,298.0,1,1,0,0,0,0,1,0,1,1,1,Semi,28655
Fort Kochi,Triple,No Bed,369.0,1,0,1,1,1,0,0,1,1,1,0,Unfurnished,29185
Kaloor,Master,Double Bed,191.0,1,0,1,1,0,0,1,0,0,0,0,Unfurnished,22660
Kollam,Double,Queen Bed,170.0,1,1,1,1,1,0,1,0,0,0,1,Unfurnished,18941
Kalamassery,Single,Queen Bed,148.0,1,1,1,1,0,1,1,0,0,0,1,Unfurnished,17080
Edappally,Triple,King Bed,440.0,0,1,0,0,1,0,0,1,0,0,0,Unfurnished,28539
Fort Kochi,Double,Double Bed,131.0,1,0,0,1,1,0,0,1,1,1,0,Unfurnished,25339
Pune,Triple,Double Bed,401.0,1,0,0,1,0,1,0,0,0,0,1,Unfurnished,40983
Kolkata,Quad,No Bed,402.0,1,1,1,0,0,0,0,1,1,1,1,Fully,43334
Pune,Quad,Single Bed,510.0,0,0,0,0,0,1,1,1,1,0,0,Semi,50386
Chennai,Triple,No Bed,330.0,1,0,0,1,1,1,1,0,0,1,1,Fully,34815
Delhi,Master,Single Bed,172.0,1,1,0,0,0,1,0,1,1,0,1,Fully,38359
Other,Master,No Bed,184.0,1,0,0,0,0,1,1,1,0,0,0,Semi,16148
Palakkad,Studio,King Bed,399.0,0,1,1,0,0,0,1,1,0,0,1,Semi,27293
Vyttila,Double,Double Bed,186.0,1,1,0,1,0,1,1,0,0,1,1,Fully,28954
Bangalore,Master,Double Bed,240.0,1,0,1,0,1,1,0,0,1,1,1,Semi,35455
Ranni,Single,Double Bed,132.0,0,0,1,0,1,1,1,1,1,0,1,Unfurnished,10695
Jaipur,Studio,Single Bed,215.0,1,1,0,0,1,0,0,0,0,1,0,Fully,27822
Delhi,Master,Bunk Bed,232.0,0,1,0,1,1,1,1,1,0,1,1,Fully,40977
Mg Road,Studio,Single Bed,273.0,1,1,1,1,0,1,1,0,1,0,1,Unfurnished,32573
Karukachal,Triple,King Bed,298.0,1,0,1,1,1,1,0,1,0,1,1,Unfurnished,22784
Trivandrum,Studio,Queen Bed,206.0,1,1,1,0,1,1,1,1,0,1,1,Unfurnished,30550
Kalamassery,Single,Double Bed,113.0,1,0,0,1,1,1,0,0,0,0,1,Unfurnished,12305
Thrissur,Single,Single Bed,150.0,1,0,1,1,1,0,1,1,1,0,0,Fully,16935
Fort Kochi,Double,Bunk Bed,211.0,0,0,0,0,1,0,1,0,0,0,0,Unfurnished,20817
Pune,Single,Single Bed,96.0,1,0,0,1,0,1,0,0,0,0,1,Unfurnished,18876
Kakkanad,Double,Bunk Bed,184.0,1,0,1,1,1,0,1,0,0,1,0,Fully,23056
Bangalore,Quad,Single Bed,367.0,1,1,0,0,1,1,0,1,1,0,1,Unfurnished,57070
Kolkata,Master,King Bed,151.0,0,1,1,1,0,1,0,1,1,0,0,Semi,31939
Other,Single,King Bed,93.0,1,0,1,1,0,0,0,0,1,1,0,Semi,15842
Ranni,Quad,No Bed,542.0,0,1,0,1,0,0,0,0,1,1,1,Unfurnished,20147
Alappuzha,Double,Single Bed,131.0,0,0,1,1,1,1,1,1,1,1,0,Fully,18241
Ranni,Single,Bunk Bed,114.0,0,1,0,1,1,0,0,1,0,1,1,Unfurnished,10545
Ranni,Master,Queen Bed,174.0,0,1,0,1,0,1,0,1,1,1,1,Fully,19144
Kalamassery,Master,Bunk Bed,255.0,0,1,1,1,0,0,1,1,0,0,0,Unfurnished,18306
